Test Case: H20SXM_vllm.ops.NATIVE_C-fused_grouped_topk
| output | _tensor | strides | _tensor_1 | precision_1 | strides_1 | high  | _tensor_2 | precision_2 | strides_2 | _tensor_3 | precision_3 | strides_3 |  dtype   | status | b_device | b_dtype | rtol  | atol  |     cosine_sim     | max_abs_err | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |    eb     |         rmse         | small_value_err_ratio |   max_rel_error    |   mean_rel_error    | max_ulp_error | mean_ulp_error | ulp_error_proportion |                        message                         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9095342519985322 |             |                   |                    |                        |            | 0.0703125 | 0.05588330860928233  |           0           | 10.149752541047054 | 0.45434756161865886 |  137452500.0  |   5596484.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.80859375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9151598797475469 |             |                   |                    |                        |            | 0.1796875 | 0.05406570102136889  |           0           | 6.543577360359126  | 0.3891973562000013  |  91866930.0   |   4742748.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9140975618699408 |             |                   |                    |                        |            |  0.03125  | 0.05465298539533198  |           0           | 4.497886684666585  | 0.35717521214400694 |  51666516.0   |   4104613.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        |  0.765625  |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.877107595485138  |             |                   |                    |                        |            | 0.0546875 | 0.06592167359474863  |           0           | 11.220366157486751 | 0.5990798696417612  |  141527250.0  |   7506368.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.8046875  |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9292186317439212 |             |                   |                    |                        |            |  0.03125  |  0.0491384352055148  |           0           | 4.543814725270235  | 0.3452839637563357  |  54192908.0   |   4148035.5    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9071692540338953 |             |                   |                    |                        |            | 0.0078125 | 0.056894364096295946 |           0           |  9.30853954495616  | 0.4544784403054484  |  93738824.0   |   5306596.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        |  0.796875  |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9192942052555511 |             |                   |                    |                        |            |    0.0    | 0.052534454152594036 |           0           | 8.933120733364216  |  0.445302213235345  |  115990530.0  |   5397345.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.76953125 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9163243737622615 |             |                   |                    |                        |            | 0.015625  | 0.05346366301754519  |           0           | 8.710583537378062  | 0.41128084461178405 |  79950424.0   |   4795214.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.79296875 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9155813152402364 |             |                   |                    |                        |            | 0.0390625 | 0.054094343594440146 |           0           | 5.020857981887853  | 0.3994880805756259  |  54563430.0   |   4837938.5    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.70703125 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9073601281165475 |             |                   |                    |                        |            | 0.078125  | 0.05683216547496773  |           0           | 8.221726314427368  | 0.4372047019195258  |  81443710.0   |   5329684.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9095342519985322 |             |                   |                    |                        |            | 0.0703125 | 0.05588330860928233  |           0           | 10.149752541047054 | 0.45434756161865886 |  137452500.0  |   5596484.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.80859375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9151598797475469 |             |                   |                    |                        |            | 0.1796875 | 0.05406570102136889  |           0           | 6.543577360359126  | 0.3891973562000013  |  91866930.0   |   4742748.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9140975618699408 |             |                   |                    |                        |            |  0.03125  | 0.05465298539533198  |           0           | 4.497886684666585  | 0.35717521214400694 |  51666516.0   |   4104613.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        |  0.765625  |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.877107595485138  |             |                   |                    |                        |            | 0.0546875 | 0.06592167359474863  |           0           | 11.220366157486751 | 0.5990798696417612  |  141527250.0  |   7506368.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.8046875  |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9292186317439212 |             |                   |                    |                        |            |  0.03125  |  0.0491384352055148  |           0           | 4.543814725270235  | 0.3452839637563357  |  54192908.0   |   4148035.5    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9071692540338953 |             |                   |                    |                        |            | 0.0078125 | 0.056894364096295946 |           0           |  9.30853954495616  | 0.4544784403054484  |  93738824.0   |   5306596.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        |  0.796875  |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9192942052555511 |             |                   |                    |                        |            |    0.0    | 0.052534454152594036 |           0           | 8.933120733364216  |  0.445302213235345  |  115990530.0  |   5397345.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.76953125 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9163243737622615 |             |                   |                    |                        |            | 0.015625  | 0.05346366301754519  |           0           | 8.710583537378062  | 0.41128084461178405 |  79950424.0   |   4795214.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.79296875 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9155813152402364 |             |                   |                    |                        |            | 0.0390625 | 0.054094343594440146 |           0           | 5.020857981887853  | 0.3994880805756259  |  54563430.0   |   4837938.5    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.70703125 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9073601281165475 |             |                   |                    |                        |            | 0.078125  | 0.05683216547496773  |           0           | 8.221726314427368  | 0.4372047019195258  |  81443710.0   |   5329684.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9095342519985322 |             |                   |                    |                        |            | 0.0703125 | 0.05588330860928233  |           0           | 10.149752541047054 | 0.45434756161865886 |  137452500.0  |   5596484.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.80859375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9151598797475469 |             |                   |                    |                        |            | 0.1796875 | 0.05406570102136889  |           0           | 6.543577360359126  | 0.3891973562000013  |  91866930.0   |   4742748.0    |         1.0          | Cosine similarity is less than 0.99, consider as error |
| [0, 1] | [32, 8] | [8, 1]  |  [32, 8]  |     Int     |  [8, 1]   | 32768 | [32, 256] |  bfloat16   | [256, 1]  |   [256]   |  bfloat16   |    [1]    | bfloat16 | error  |   cpu    |   int   | 1e-06 | 1e-09 |                    |             |                   |                    |                        | 0.77734375 |           |                      |                       |                    |                     |               |                |                      |         Error Rate is not 0, consider as error         |
