Test Case: H20SXM_vllm.ops.NATIVE_C-fused_add_rms_norm_per_token_group_quant_fp8
|  output   |  _tensor   |  strides  | _tensor_1  | precision_1 | strides_1 | _tensor_2 | precision_2 | strides_2 | distributions | _tensor_3  | precision_3 | strides_3 | distributions_1 | _tensor_4 | precision_4 | strides_4 | distributions_2 |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio |    max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999942793766157 | 1.355540007352829e-06  |                   |                    |                        |            |  0.004464285714285714  | 2.7574389129949945e-07 |           0           | 0.009935271751113613 | 0.0027301795214739184 |   137911.0    |   31919.295    |  0.9983258928571429  | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998321951675382 |          32.0          |                   | 0.9515468052455357 |   0.9515468052455357   |            | 0.00013078962053571428 |   1.9883490224561882   |          0.0          |      0.19999756      |     0.0042396327      |      1.0      |   0.04776001   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998380342085  |     0.00012207031      |                   |                    |                        |            |   0.001251220703125    | 2.1474022561366568e-05 |          0.0          |     0.0034602077     |     0.0007867029      |      0.5      |   0.18797533   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999942944457272 | 1.0875228326767683e-06 |                   |                    |                        |            |  0.05915178571428571   |  2.73977496850154e-07  |           0           | 0.010975277918655664 | 0.002784414399598617  |   136592.0    |   32535.572    |  0.9988839285714286  | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998334344278424 |          32.0          |                   | 0.9518389020647321 |   0.9518389020647321   |            | 0.00029209681919642856 |   1.9410621107307267   |          0.0          |      0.33332655      |      0.004225697      |      1.0      |  0.047450475   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983759565169 |     0.00012207031      |                   |                    |                        |            | 0.0015433175223214285  | 2.145495904881853e-05  |          0.0          |     0.0034602077     |     0.0007861485      |      0.5      |   0.1879115    |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999942624195282 | 1.1849042493849993e-06 |                   |                    |                        |            |  0.052455357142857144  | 2.8049961005727236e-07 |           0           | 0.011190033633069963 | 0.0027415872460949953 |   173817.0    |   32352.818    |  0.9983258928571429  | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998264340556345 |          32.0          |                   | 0.9507795061383929 |   0.9507795061383929   |            | 0.0004359654017857143  |   2.014977954377063    |          0.0          |      0.33332655      |     0.0043026027      |      1.0      |   0.04835946   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998383645771  |     0.00012207031      |                   |                    |                        |            | 0.0020010811941964285  | 2.1409724717326187e-05 |          0.0          |     0.0034602077     |     0.0007834377      |      0.5      |   0.18712007   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.999993979210236  | 1.7780112102627754e-06 |                   |                    |                        |            |  0.03794642857142857   | 2.8692004750652283e-07 |           0           | 0.011351816270111361 | 0.0028204815812589022 |   133144.0    |    32695.48    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998361896273152 |          32.0          |                   | 0.9513375418526786 |   0.9513375418526786   |            | 0.0004970005580357143  |   1.9492100116705948   |          0.0          |      0.99993896      |     0.0042631854      |      1.0      |   0.04799979   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983770438604 |     0.00012207031      |                   |                    |                        |            |    0.0003662109375     | 2.1472285880154866e-05 |          0.0          |     0.0034602077     |     0.0007875212      |      0.5      |   0.18830006   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999942350932561 | 1.2335513019934297e-06 |                   |                    |                        |            |  0.016741071428571428  | 2.7956944205322236e-07 |           0           | 0.011171878642761745 | 0.0027083574299658383 |   153824.0    |   32127.158    |  0.9994419642857143  | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998324304593982 |          32.0          |                   | 0.9508013044084821 |   0.9508013044084821   |            | 0.0003269740513392857  |   1.976035894744523    |          0.0          |      0.99993896      |     0.0043198476      |      1.0      |   0.04854911   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.999998379997256  |     0.00012207031      |                   |                    |                        |            | 0.0012032645089285715  | 2.1443937445091935e-05 |          0.0          |     0.0034602077     |     0.00078637083     |      0.5      |   0.18781917   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999939459328591 | 1.2850214261561632e-06 |                   |                    |                        |            |  0.033482142857142856  | 2.8505639690852986e-07 |           0           | 0.011003304807944956 | 0.002802193365535873  |   140967.0    |   32739.123    |  0.9994419642857143  | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998314293218761 |          32.0          |                   | 0.9520307268415179 |   0.9520307268415179   |            | 0.00047520228794642856 |   1.981611560431168    |          0.0          |      0.1428559       |       0.0042076       |      1.0      |  0.047293525   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983802260959 |     0.00012207031      |                   |                    |                        |            | 0.0021275111607142855  | 2.1465576682296383e-05 |          0.0          |     0.0034602077     |     0.0007868972      |      0.5      |   0.18795213   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999940707558514 | 1.5047844499349594e-06 |                   |                    |                        |            |  0.008928571428571428  | 2.8073449971735973e-07 |           0           | 0.01070314867653868  | 0.0027357195629750127 |   156147.0    |   32082.941    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998308522975373 |          32.0          |                   | 0.9525931222098214 |   0.9525931222098214   |            | 0.0006190708705357143  |   1.984865663918161    |          0.0          |      0.19999756      |      0.004156719      |      1.0      |   0.04673985   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983846099161 |     0.00012207031      |                   |                    |                        |            | 5.667550223214286e-05  | 2.144808761519528e-05  |          0.0          |     0.0034602077     |     0.0007838434      |      0.5      |   0.18747021   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999940533058455 | 1.5465047908946872e-06 |                   |                    |                        |            |  0.014508928571428572  | 2.824695584064573e-07  |           0           | 0.01105382474094687  | 0.0027998774039391847 |   155584.0    |    32850.78    |         1.0          | Max abs error is less than 0.001, consider as pass |
