Test Case: H20SXM_aten-div
|   _tensor    |   strides   | _tensor_1 | precision_1 | strides_1 |  dtype   | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb  |          rmse          | small_value_err_ratio |     max_rel_error      |     mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                        message                         |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 5.0862630303072365e-06 |                   |                    |                        |            | 0.0 | 2.3411323543470785e-07 |          0.0          | 5.935831426332811e-08  | 2.1317402676996944e-08 |  0.49800795   |   0.24789248   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 6.781684021461842e-06  |                   |                    |                        |            | 0.0 | 1.7430747137436256e-07 |          0.0          | 5.9350998772637255e-08 | 2.0831852124956388e-08 |   0.4979424   |   0.24221899   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 0.00048504759979550727 |                   |                    |                        |            | 0.0 | 1.575392926476424e-05  |          0.0          | 5.932901722309371e-08  | 2.074649443154402e-08  |  0.49773756   |   0.2412432    |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 |  error  |   cpu    |  fp64   | 1e-06 | 1e-09 |        nan         |                        |                   |                    |                        |            | 0.0 | 1.0303115476445045e-07 |          0.0          | 5.9337660733158575e-08 | 2.077981012491912e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.543670989207385e-06  |                   |                    |                        |            | 0.0 | 2.5599890724906016e-07 |          0.0          | 5.933651160811291e-08  | 2.1407317809328896e-08 |  0.49799198   |   0.24892794   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 4.069010424245789e-05  |                   |                    |                        |            | 0.0 | 1.4988783193963527e-06 |          0.0          | 5.9326719201430826e-08 | 2.0586069774952047e-08 |   0.4979592   |   0.23940563   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 3.739899284482817e-06  |                   |                    |                        |            | 0.0 | 1.4734971212784458e-07 |          0.0          | 5.9316609829948715e-08 | 2.1494793351023988e-08 |   0.4979424   |   0.24996531   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.895199915225021e-06  |                   |                    |                        |            | 0.0 | 1.2727596010831042e-07 |          0.0          | 5.932226566817902e-08  | 2.149107474852145e-08  |   0.4978903   |   0.24993816   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 3.018825168510375e-06  |                   |                    |                        |            | 0.0 | 1.1236063632483835e-07 |          0.0          | 5.933421642788455e-08  | 2.149333477386162e-08  |   0.4979424   |   0.24996956   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.500082773503891e-06  |                   |                    |                        |            | 0.0 |  1.70775218825481e-07  |          0.0          | 5.9365544818852416e-08 | 2.1395759612689094e-08 |  0.49800795   |   0.24879803   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 5.0862630303072365e-06 |                   |                    |                        |            | 0.0 | 2.3411323543470785e-07 |          0.0          | 5.935831426332811e-08  | 2.1317402676996944e-08 |  0.49800795   |   0.24789248   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 6.781684021461842e-06  |                   |                    |                        |            | 0.0 | 1.7430747137436256e-07 |          0.0          | 5.9350998772637255e-08 | 2.0831852124956388e-08 |   0.4979424   |   0.24221899   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 0.00048504759979550727 |                   |                    |                        |            | 0.0 | 1.575392926476424e-05  |          0.0          | 5.932901722309371e-08  | 2.074649443154402e-08  |  0.49773756   |   0.2412432    |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 |  error  |   cpu    |  fp64   | 1e-06 | 1e-09 |        nan         |                        |                   |                    |                        |            | 0.0 | 1.0303115476445045e-07 |          0.0          | 5.9337660733158575e-08 | 2.077981012491912e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.543670989207385e-06  |                   |                    |                        |            | 0.0 | 2.5599890724906016e-07 |          0.0          | 5.933651160811291e-08  | 2.1407317809328896e-08 |  0.49799198   |   0.24892794   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 4.069010424245789e-05  |                   |                    |                        |            | 0.0 | 1.4988783193963527e-06 |          0.0          | 5.9326719201430826e-08 | 2.0586069774952047e-08 |   0.4979592   |   0.23940563   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 3.739899284482817e-06  |                   |                    |                        |            | 0.0 | 1.4734971212784458e-07 |          0.0          | 5.9316609829948715e-08 | 2.1494793351023988e-08 |   0.4979424   |   0.24996531   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.895199915225021e-06  |                   |                    |                        |            | 0.0 | 1.2727596010831042e-07 |          0.0          | 5.932226566817902e-08  | 2.149107474852145e-08  |   0.4978903   |   0.24993816   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 3.018825168510375e-06  |                   |                    |                        |            | 0.0 | 1.1236063632483835e-07 |          0.0          | 5.933421642788455e-08  | 2.149333477386162e-08  |   0.4979424   |   0.24996956   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.500082773503891e-06  |                   |                    |                        |            | 0.0 |  1.70775218825481e-07  |          0.0          | 5.9365544818852416e-08 | 2.1395759612689094e-08 |  0.49800795   |   0.24879803   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 5.0862630303072365e-06 |                   |                    |                        |            | 0.0 | 2.3411323543470785e-07 |          0.0          | 5.935831426332811e-08  | 2.1317402676996944e-08 |  0.49800795   |   0.24789248   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 6.781684021461842e-06  |                   |                    |                        |            | 0.0 | 1.7430747137436256e-07 |          0.0          | 5.9350998772637255e-08 | 2.0831852124956388e-08 |   0.4979424   |   0.24221899   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 0.00048504759979550727 |                   |                    |                        |            | 0.0 | 1.575392926476424e-05  |          0.0          | 5.932901722309371e-08  | 2.074649443154402e-08  |  0.49773756   |   0.2412432    |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 |  error  |   cpu    |  fp64   | 1e-06 | 1e-09 |        nan         |                        |                   |                    |                        |            | 0.0 | 1.0303115476445045e-07 |          0.0          | 5.9337660733158575e-08 | 2.077981012491912e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.543670989207385e-06  |                   |                    |                        |            | 0.0 | 2.5599890724906016e-07 |          0.0          | 5.933651160811291e-08  | 2.1407317809328896e-08 |  0.49799198   |   0.24892794   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 4.069010424245789e-05  |                   |                    |                        |            | 0.0 | 1.4988783193963527e-06 |          0.0          | 5.9326719201430826e-08 | 2.0586069774952047e-08 |   0.4979592   |   0.23940563   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 3.739899284482817e-06  |                   |                    |                        |            | 0.0 | 1.4734971212784458e-07 |          0.0          | 5.9316609829948715e-08 | 2.1494793351023988e-08 |   0.4979424   |   0.24996531   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.895199915225021e-06  |                   |                    |                        |            | 0.0 | 1.2727596010831042e-07 |          0.0          | 5.932226566817902e-08  | 2.149107474852145e-08  |   0.4978903   |   0.24993816   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 3.018825168510375e-06  |                   |                    |                        |            | 0.0 | 1.1236063632483835e-07 |          0.0          | 5.933421642788455e-08  | 2.149333477386162e-08  |   0.4979424   |   0.24996956   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.500082773503891e-06  |                   |                    |                        |            | 0.0 |  1.70775218825481e-07  |          0.0          | 5.9365544818852416e-08 | 2.1395759612689094e-08 |  0.49800795   |   0.24879803   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 5.0862630303072365e-06 |                   |                    |                        |            | 0.0 | 2.3411323543470785e-07 |          0.0          | 5.935831426332811e-08  | 2.1317402676996944e-08 |  0.49800795   |   0.24789248   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 6.781684021461842e-06  |                   |                    |                        |            | 0.0 | 1.7430747137436256e-07 |          0.0          | 5.9350998772637255e-08 | 2.0831852124956388e-08 |   0.4979424   |   0.24221899   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 0.00048504759979550727 |                   |                    |                        |            | 0.0 | 1.575392926476424e-05  |          0.0          | 5.932901722309371e-08  | 2.074649443154402e-08  |  0.49773756   |   0.2412432    |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 |  error  |   cpu    |  fp64   | 1e-06 | 1e-09 |        nan         |                        |                   |                    |                        |            | 0.0 | 1.0303115476445045e-07 |          0.0          | 5.9337660733158575e-08 | 2.077981012491912e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.543670989207385e-06  |                   |                    |                        |            | 0.0 | 2.5599890724906016e-07 |          0.0          | 5.933651160811291e-08  | 2.1407317809328896e-08 |  0.49799198   |   0.24892794   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 4.069010424245789e-05  |                   |                    |                        |            | 0.0 | 1.4988783193963527e-06 |          0.0          | 5.9326719201430826e-08 | 2.0586069774952047e-08 |   0.4979592   |   0.23940563   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 3.739899284482817e-06  |                   |                    |                        |            | 0.0 | 1.4734971212784458e-07 |          0.0          | 5.9316609829948715e-08 | 2.1494793351023988e-08 |   0.4979424   |   0.24996531   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.895199915225021e-06  |                   |                    |                        |            | 0.0 | 1.2727596010831042e-07 |          0.0          | 5.932226566817902e-08  | 2.149107474852145e-08  |   0.4978903   |   0.24993816   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 3.018825168510375e-06  |                   |                    |                        |            | 0.0 | 1.1236063632483835e-07 |          0.0          | 5.933421642788455e-08  | 2.149333477386162e-08  |   0.4979424   |   0.24996956   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.500082773503891e-06  |                   |                    |                        |            | 0.0 |  1.70775218825481e-07  |          0.0          | 5.9365544818852416e-08 | 2.1395759612689094e-08 |  0.49800795   |   0.24879803   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 5.0862630303072365e-06 |                   |                    |                        |            | 0.0 | 2.3411323543470785e-07 |          0.0          | 5.935831426332811e-08  | 2.1317402676996944e-08 |  0.49800795   |   0.24789248   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999996 | 6.781684021461842e-06  |                   |                    |                        |            | 0.0 | 1.7430747137436256e-07 |          0.0          | 5.9350998772637255e-08 | 2.0831852124956388e-08 |   0.4979424   |   0.24221899   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 0.00048504759979550727 |                   |                    |                        |            | 0.0 | 1.575392926476424e-05  |          0.0          | 5.932901722309371e-08  | 2.074649443154402e-08  |  0.49773756   |   0.2412432    |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 |  error  |   cpu    |  fp64   | 1e-06 | 1e-09 |        nan         |                        |                   |                    |                        |            | 0.0 | 1.0303115476445045e-07 |          0.0          | 5.9337660733158575e-08 | 2.077981012491912e-08  |      nan      |      nan       |         0.0          | Cosine similarity is less than 0.99, consider as error |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.543670989207385e-06  |                   |                    |                        |            | 0.0 | 2.5599890724906016e-07 |          0.0          | 5.933651160811291e-08  | 2.1407317809328896e-08 |  0.49799198   |   0.24892794   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999997 | 4.069010424245789e-05  |                   |                    |                        |            | 0.0 | 1.4988783193963527e-06 |          0.0          | 5.9326719201430826e-08 | 2.0586069774952047e-08 |   0.4979592   |   0.23940563   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 3.739899284482817e-06  |                   |                    |                        |            | 0.0 | 1.4734971212784458e-07 |          0.0          | 5.9316609829948715e-08 | 2.1494793351023988e-08 |   0.4979424   |   0.24996531   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         | 1.895199915225021e-06  |                   |                    |                        |            | 0.0 | 1.2727596010831042e-07 |          0.0          | 5.932226566817902e-08  | 2.149107474852145e-08  |   0.4978903   |   0.24993816   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999994 | 3.018825168510375e-06  |                   |                    |                        |            | 0.0 | 1.1236063632483835e-07 |          0.0          | 5.933421642788455e-08  | 2.149333477386162e-08  |   0.4979424   |   0.24996956   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
| [32, 129280] | [129280, 1] |  [32, 1]  |  bfloat16   |  [1, 1]   | bfloat16 | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 | 7.500082773503891e-06  |                   |                    |                        |            | 0.0 |  1.70775218825481e-07  |          0.0          | 5.9365544818852416e-08 | 2.1395759612689094e-08 |  0.49800795   |   0.24879803   |         0.0          |   Max abs error is less than 0.001, consider as pass   |
