Test Case: H20SXM_aten-mul
|    _tensor    |   strides   | dtype | status  | b_device | b_dtype | rtol  | atol  |     cosine_sim     | max_abs_err | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb  | rmse | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 | 0.9999999999999998 |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
| [256, 129280] | [129280, 1] | Float | Warning |   cpu    |  fp64   | 1e-06 | 1e-09 |        1.0         |     0.0     |                   |                    |                        |            | 0.0 | 0.0  |          0.0          |      0.0      |      0.0       |      0.0      |      0.0       |         0.0          | Max abs error is less than 0.001, consider as pass |
